Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
2.00346325,-0.3032693481,0.1086740112,9.766290894
2.01345725,-0.3186872864,0.1056802368,9.742490387
2.02345225,-0.3152444458,0.1076261902,9.743987274
2.03344725,-0.3124003601,0.1019380188,9.784103851
2.04344125,-0.3101550293,0.107177124,9.765692139
2.05343625,-0.3112028503,0.107177124,9.785301361
2.06343125,-0.3025209045,0.1112187195,9.759405212
2.07342525,-0.3239263916,0.1104702759,9.767039337
2.08342025,-0.3159928894,0.1053808594,9.746981049
2.09341525,-0.309256897,0.1068777466,9.751172333
2.10340925,-0.3007246399,0.1077758789,9.750124512
2.11340425,-0.3119512939,0.1079255676,9.767488403
2.12339925,-0.3143463135,0.1097218323,9.773475952
2.13339425,-0.314046936,0.1074765015,9.763895874
2.14338825,-0.3155438232,0.1058299255,9.754315796
2.15338325,-0.3141966248,0.1056802368,9.769284668
2.16337825,-0.3124003601,0.1103205872,9.758656769
2.17337225,-0.3056643677,0.1112187195,9.755213928
2.18336725,-0.3107537842,0.1149609375,9.741292877
2.19336225,-0.3074606323,0.1056802368,9.751920776
2.20335625,-0.3168910217,0.1059796143,9.756710815
2.21335125,-0.3122506714,0.1079255676,9.764644318
2.22334625,-0.314046936,0.1097218323,9.757159882
2.23334025,-0.310304718,0.1089733887,9.760003967
2.24333525,-0.3124003601,0.1094224548,9.762249298
2.25333025,-0.3124003601,0.113613739,9.762698364
2.26332525,-0.3112028503,0.1040336609,9.750423889
2.27331925,-0.3098556519,0.1004411316,9.758806458
2.28331425,-0.3115022278,0.1106199646,9.753717041
2.29330925,-0.309256897,0.1097218323,9.733808441
2.30330325,-0.3188369751,0.1134640503,9.788444824
2.31329825,-0.3073109436,0.1092727661,9.748777313
2.32329325,-0.3137475586,0.1092727661,9.760303345
2.33328725,-0.3065625,0.1092727661,9.764494629
2.34328225,-0.3168910217,0.1031355286,9.750124512
2.35327725,-0.3300636292,0.1062789917,9.770033112
2.36327225,-0.3177891541,0.1076261902,9.76434494
2.37326625,-0.3174897766,0.117355957,9.775122528
2.38326125,-0.3104544067,0.1155596924,9.764195251
2.39325625,-0.3132984924,0.1068777466,9.760153656
2.40325025,-0.3138972473,0.1146615601,9.760003967
2.41324525,-0.3138972473,0.1100212097,9.767787781
2.42324025,-0.3056643677,0.1065783691,9.761949921
2.43323425,-0.3112028503,0.1065783691,9.756860504
2.44322925,-0.305514679,0.1016386414,9.755812683
2.45322425,-0.3050656128,0.1115180969,9.753567352
2.46321925,-0.3246748352,0.1122665405,9.759405212
2.47321325,-0.3121009827,0.1088237,9.751322021
2.48320825,-0.3086581421,0.1050814819,9.762548676
2.49320325,-0.3083587646,0.1035845947,9.762548676
2.50319725,-0.3183879089,0.1044827271,9.761650543
2.51319225,-0.3144960022,0.1182540894,9.75730957
2.52318725,-0.3086581421,0.1065783691,9.747729492
2.53318125,-0.3143463135,0.1040336609,9.760003967
2.54317625,-0.309256897,0.1130149841,9.752369843
2.55317125,-0.3143463135,0.1106199646,9.747579803
2.56316525,-0.3150947571,0.1091230774,9.762099609
2.57316025,-0.3100053406,0.1106199646,9.760602722
2.58315525,-0.3107537842,0.1052311707,9.761949921
2.59315025,-0.3061134338,0.1058299255,9.757758636
2.60314425,-0.3122506714,0.103434906,9.756112061
2.61313925,-0.307610321,0.1026864624,9.754016418
2.62313425,-0.3110531616,0.1035845947,9.756261749
2.63312825,-0.3171903992,0.1181044006,9.764494629
2.64312325,-0.3073109436,0.1049317932,9.759255524
2.65311825,-0.3094065857,0.102387085,9.759405212
2.66311225,-0.307610321,0.1155596924,9.751172333
2.67310175,-0.3113525391,0.1040336609,9.753567352
2.68309675,-0.3131488037,0.1025367737,9.761500854
2.69309175,-0.3124003601,0.1031355286,9.767189026
2.70308575,-0.3150947571,0.1037342834,9.752220154
2.71308075,-0.3210823059,0.102387085,9.770931244
2.72307575,-0.3124003601,0.1043330383,9.754764862
2.73306975,-0.3119512939,0.1058299255,9.761051788
2.74306475,-0.312999115,0.110919342,9.769733734
2.75305975,-0.3056643677,0.1094224548,9.751322021
2.76305375,-0.314046936,0.1119671631,9.753717041
2.77304875,-0.3173400879,0.1076261902,9.75970459
2.78304375,-0.3100053406,0.112565918,9.761949921
2.79303775,-0.3118016052,0.1038839722,9.766889648
2.80303275,-0.3134481812,0.1076261902,9.765392761
2.81302775,-0.3200344849,0.1213975525,9.757608948
2.82302275,-0.3141966248,0.1179547119,9.758207703
2.83301675,-0.3116519165,0.1110690308,9.765243073
2.84301175,-0.3013233948,0.1011895752,9.761800232
2.85300675,-0.309256897,0.1049317932,9.759854279
2.86300075,-0.3176394653,0.1062789917,9.75386673
2.87299575,-0.3118016052,0.1086740112,9.75506424
2.88299075,-0.3143463135,0.107177124,9.751022644
