Time (s),X (rad/s),Y (rad/s),Z (rad/s)
34.14062787,-0.8994446397,1.274692297,0.9039856791
34.15062488,-0.9790177941,1.284574032,0.8932667375
34.16062088,-1.018208265,1.30589211,0.8814533353
34.17061788,-1.03007257,1.3336761,0.8554795384
34.18061388,-1.020774484,1.362141013,0.8057940006
34.19061088,-0.9897763729,1.372724175,0.7457807064
34.20060788,-0.9399299622,1.353678346,0.6881648302
34.21060388,-0.8739290833,1.294811368,0.6141158938
34.22060088,-0.8100154996,1.181684256,0.5196989179
34.23059688,-0.7281557918,1.049520612,0.4173978269
34.24059388,-0.6203517914,0.9136468768,0.3135634363
34.25059088,-0.5055906177,0.8154643774,0.2148371339
34.26058688,-0.3846587539,0.7874205112,0.1433265805
34.27058388,-0.2900696695,0.8679563999,0.08439828455
34.28057987,-0.2445546985,0.9986399412,0.01345467661
34.29057688,-0.2587349713,1.097189784,-0.0921934545
34.30057388,-0.3338843286,1.126550317,-0.1949556172
34.31056988,-0.4460651875,1.116580009,-0.3271072805
34.32056688,-0.5553369522,1.095898032,-0.4860063791
34.33056288,-0.616584301,1.092857242,-0.6312493682
34.34055988,-0.6292191148,1.101872206,-0.7416600585
34.35055688,-0.6121229529,1.094128728,-0.814935863
34.36055288,-0.5963363051,1.018091559,-0.8596820831
34.37054988,-0.6247251034,0.8549563885,-0.8645570278
34.38054588,-0.7172408104,0.6485163569,-0.8476209641
34.39054288,-0.8501181602,0.4483590722,-0.8321613073
34.40053988,-0.9809617996,0.281326443,-0.8452864885
34.41053588,-1.062779784,0.1528952569,-0.8853108287
34.42053287,-1.067006707,0.0588307716,-0.9424068332
34.43052888,-0.9650400281,0.01860026084,-0.9923906326
34.44052588,-0.752435863,0.02543742768,-1.030346394
34.45052288,-0.4511095285,0.08640890568,-1.062444448
34.46051888,-0.1060801521,0.1889901906,-1.10336709
34.47051588,0.2206265926,0.3088327348,-1.173423886
34.48051188,0.4517019987,0.402862519,-1.259586215
34.49050888,0.5496460795,0.4876930118,-1.343750358
34.50050588,0.5316544771,0.5772570372,-1.415792584
34.51050188,0.4275022745,0.6714812517,-1.467489123
34.52049888,0.267170459,0.7484080791,-1.513630867
34.53049488,0.08391328901,0.7876737118,-1.565562606
34.54049188,-0.1145318151,0.813229084,-1.622820377
34.55048888,-0.3049758077,0.8303512931,-1.673096061
34.56048487,-0.4847326279,0.8443447948,-1.718726635
34.57048188,-0.6541621089,0.8488324881,-1.754004717
34.58047788,-0.8125785589,0.8546530604,-1.772861719
34.59047488,-0.9445285797,0.8784569502,-1.764377236
34.60047188,-1.047107339,0.8994614482,-1.733235598
34.61046788,-1.110509753,0.8962438107,-1.681465626
34.62046488,-1.133057714,0.8783643246,-1.630458951
34.63046088,-1.10642767,0.8560230732,-1.579692721
34.64045788,-1.049717903,0.8238946199,-1.537640333
34.65045488,-0.9783385396,0.7829070091,-1.511322737
34.66045088,-0.91631639,0.7277231812,-1.484665513
34.67044788,-0.8634209633,0.666693151,-1.442758799
34.68044388,-0.8276379108,0.6065476537,-1.387842774
34.69044088,-0.809220016,0.5544402599,-1.311556578
34.70043787,-0.8081459403,0.5133598447,-1.230517387
34.71043388,-0.8225442767,0.4821358323,-1.149758101
34.72043088,-0.8553444147,0.4625055492,-1.078911901
34.73042688,-0.9045647383,0.4451169968,-1.036400914
34.74042388,-0.9707313776,0.418636173,-1.01129365
34.75041988,-1.045369387,0.3803343177,-0.9969744682
34.76041688,-1.115308762,0.350895226,-0.9695473909
34.77041388,-1.170677781,0.3395765126,-0.927464366
34.78040988,-1.206199884,0.3425202072,-0.8652407527
34.79040688,-1.226037025,0.3487650454,-0.7819261551
34.80040288,-1.227315187,0.359582603,-0.6867055893
34.81039988,-1.207605958,0.3768420219,-0.5785756707
34.82039688,-1.163147569,0.3629187047,-0.4728747606
34.83039288,-1.14347434,0.2698452175,-0.3952121735
34.84038987,-1.214841485,0.1195398942,-0.3825435936
34.85038588,-1.39626956,-0.04776600376,-0.413923353
34.86038288,-1.642752051,-0.1742934287,-0.4274101257
34.87037988,-1.931013346,-0.2221887857,-0.4020072818
34.88037588,-2.167026758,-0.1789333522,-0.2975354791
34.89037288,-2.366408587,-0.1443849653,-0.08761341125
34.90036888,-2.520419359,-0.1106077284,0.2112013698
34.91036588,-2.548380136,0.01798753068,0.5582064986
34.92036288,-2.429301023,0.1856206208,0.9099599719
34.93035888,-2.188119888,0.3296981454,1.22813189
34.94035588,-1.852947474,0.4191702008,1.467689037
34.95035183,-1.458199024,0.4861649573,1.604072452
34.96034883,-1.030391812,0.529104054,1.632138968
34.97034583,-0.6110079288,0.5706091523,1.569708347
34.98034183,-0.2199017555,0.6092467904,1.441826224
34.99033883,0.1242108792,0.6317177415,1.278438926
35.00033483,0.3856618702,0.6405671835,1.101065874
35.01033183,0.5267271399,0.6650246382,0.9193410873
35.02032883,0.5017412901,0.7332672477,0.7251603603
35.03032483,0.2657948434,0.8576807976,0.5218673944
35.04032183,-0.1662798226,1.053069949,0.3255012035
35.05031783,-0.7572211623,1.331449628,0.1650542915
35.06031483,-1.436814427,1.701267719,0.01815958694
35.07031183,-2.138687611,2.113940477,-0.1389520019
35.08030783,-2.802989006,2.532978296,-0.3111659586
35.09030483,-3.397808313,2.883671761,-0.4759413302
35.10030083,-3.897277355,3.127305746,-0.6274031401
35.11029783,-4.266801357,3.267913342,-0.7506632805
35.12029483,-4.494608402,3.280595303,-0.841661334
35.13029083,-4.583760262,3.171497583,-0.88484478
35.14028783,-4.548550606,2.970035791,-0.8626220822
35.15028383,-4.405385017,2.700017691,-0.7635197043
35.16028083,-4.19307518,2.374547005,-0.5912942886
35.17027783,-3.932384491,2.02854681,-0.3568272591
35.18027383,-3.64663744,1.664776921,-0.1063834801
35.19027083,-3.352899551,1.294074535,0.1397338808
35.20026683,-3.050543547,0.9306845665,0.3604592383
35.21026383,-2.734513044,0.5740753412,0.5541794896
35.22026083,-2.398703814,0.2519482076,0.7146840692
35.23025683,-2.042045355,-0.01673970744,0.8574675918
35.24025383,-1.683898687,-0.2307246178,0.980930388
35.25024983,-1.334545493,-0.3910498321,1.093519568
35.26024683,-0.9989336729,-0.4923948944,1.183476329
35.27024383,-0.7047068477,-0.5527160168,1.250314236
35.28023983,-0.4771243632,-0.577596426,1.30847466
35.29023683,-0.3305250704,-0.5629341006,1.380919814
35.30023283,-0.2553236187,-0.531662941,1.477114677
35.31022983,-0.2260198146,-0.5074763894,1.576744556
35.32022683,-0.2150660008,-0.4821819365,1.670697451
35.33022283,-0.2132848799,-0.4518325627,1.746122122
35.34021983,-0.2102935314,-0.4131405652,1.800770998
35.35021583,-0.2083307803,-0.3457263708,1.83806777
35.36021283,-0.2208108455,-0.2617267072,1.843606114
35.37020983,-0.2451990098,-0.1988108307,1.809444666
35.38020583,-0.2800441086,-0.1578308791,1.763096333
35.39020283,-0.3317112923,-0.1199844331,1.711780787
35.40019883,-0.3799049556,-0.06771906465,1.664988518
35.41019583,-0.4156664312,0.001453881967,1.619163752
35.42019283,-0.4269460738,0.08033584803,1.572211266
35.43018883,-0.4080376327,0.1606695801,1.52014029
35.44018583,-0.3629077375,0.2160488367,1.46635592
35.45018283,-0.2910697758,0.2420809567,1.413565397
35.46017883,-0.2041336,0.2469959408,1.35714519
35.47017583,-0.1177558303,0.2251939774,1.29491663
35.48017183,-0.03240271285,0.2014756352,1.221603632
35.49016883,0.05476361513,0.1718069613,1.1363796
35.50016583,0.1348455995,0.1221527532,1.044102907
35.51016183,0.2015370131,0.05865474045,0.9352110624
35.52015883,0.2491118461,-0.03191970289,0.8130321503
35.53015483,0.2598451972,-0.1111346334,0.6859176159
35.54015183,0.246033594,-0.148107022,0.5571615696
35.55014883,0.2135576755,-0.1321040839,0.452203691
35.56014483,0.1725949496,-0.08611159772,0.4110432863
35.57014183,0.1111835167,-0.02206257172,0.3937279284
35.58013883,0.03217250109,0.03518822417,0.3873539567
35.59013483,-0.05106433481,0.02120609581,0.4066205919
35.60013183,-0.0865413323,-0.01079474576,0.4038439691
35.61012783,-0.07067555189,0.1286379695,0.2730254829
35.62012483,-0.03750053048,0.2580147386,0.09081474692
35.63012183,0.0461605452,0.3817694187,-0.06907425821
35.64011783,0.1982752979,0.5005204678,-0.2219628096
35.65011483,0.4068884254,0.6021736264,-0.3723405898
35.66011183,0.6441957951,0.6504942179,-0.5062897801
35.67010783,0.8719397187,0.6258234978,-0.6437307596
35.68010483,1.059831381,0.5039479733,-0.7978212833
35.69010083,1.180495024,0.2677971721,-0.97373873
35.70009783,1.211596847,-0.03695576265,-1.141029477
35.71009483,1.150401473,-0.355641067,-1.274725795
35.72009083,0.9883825183,-0.6909946203,-1.359304667
35.73008783,0.7483333945,-1.020632148,-1.406785369
35.74008483,0.4850876629,-1.317762375,-1.431027412
35.75008083,0.2813209295,-1.54526031,-1.448270559
35.76007783,0.1938223988,-1.698555946,-1.472672462
35.77007383,0.2122317702,-1.82114768,-1.519477725
35.78007083,0.3069854677,-1.8963238,-1.588119984
35.79006783,0.4340323806,-1.911308527,-1.694434166
35.80006383,0.5536993742,-1.875715971,-1.823137164
35.81006083,0.6328988671,-1.818697691,-1.955666184
35.82005683,0.6515381932,-1.733808398,-2.066794395
35.83005383,0.6219976544,-1.5900563,-2.139715672
35.84005083,0.5861807466,-1.366801858,-2.194681883
35.85004683,0.5532643795,-1.08238399,-2.233247995
35.86004383,0.5115097165,-0.7613518834,-2.258346558
35.87004083,0.4554003477,-0.4204520881,-2.277146578
35.88003683,0.3853076696,-0.092362836,-2.286836624
35.89003383,0.3092192709,0.1981366426,-2.279102802
35.90002983,0.2355755717,0.4372584224,-2.238404989
35.91002683,0.1756376624,0.6190900207,-2.16042161
35.92002383,0.1364163458,0.7475404143,-2.061980009
35.93001983,0.1104960665,0.8215219378,-1.94480598
35.94001683,0.08341348171,0.8497985005,-1.831510544
35.95001371,0.06870244443,0.821634233,-1.721425533
35.96000971,0.07317822427,0.7379655838,-1.622440696
35.97000671,0.1094624624,0.5950784683,-1.525122881
35.98000271,0.1683917046,0.4164259434,-1.426133394
35.98999971,0.245632425,0.2134879977,-1.331059337
35.99999671,0.3330729902,0.002247761237,-1.246701121
36.00999271,0.4316720068,-0.2003705949,-1.178138852
36.01998971,0.5288709998,-0.3984751701,-1.129101992
36.02998671,0.6167201996,-0.5697199106,-1.096761584
36.03998271,0.6809391975,-0.6861138344,-1.083953977
36.04997971,0.7054402828,-0.7515634298,-1.072085857
36.05997571,0.6929798126,-0.7834835649,-1.055762887
36.06997271,0.6401469707,-0.79793787,-1.004374743
36.07996971,0.5576403141,-0.7823572755,-0.9312440753
36.08996571,0.4561115205,-0.7238771915,-0.8438729644
36.09996271,0.3542420268,-0.6412591934,-0.7575199008
36.10995971,0.2695926428,-0.5423997641,-0.6977260709
36.11995571,0.2014039606,-0.4302840531,-0.673491776
36.12995271,0.1430562437,-0.3080334961,-0.6738854051
36.13994871,0.08664531261,-0.1749322861,-0.6989045739
36.14994571,0.02287672274,-0.04418811575,-0.72462672
36.15994271,-0.05512926728,0.09381064028,-0.7395578623
36.16993871,-0.1296471804,0.2173496187,-0.7226862311
36.17993571,-0.195876345,0.3166432381,-0.6717964411
36.18993271,-0.2343294621,0.3799082339,-0.5771796703
36.19992871,-0.2441804856,0.3906437755,-0.4525511563
36.20992571,-0.2097969502,0.3475988209,-0.3238384426
36.21992171,-0.1241896227,0.253657639,-0.1945245713
36.22991871,0.006401143968,0.1192798465,-0.08400897682
36.23991571,0.1634969711,-0.03267950565,-0.006563508883
36.24991171,0.3123879135,-0.1962138414,0.02539868467
36.25990871,0.4179629683,-0.4009827375,0.01851868257
36.26990571,0.4459834397,-0.6232233047,-0.01458840445
36.27990171,0.3776041567,-0.7804534435,-0.03837570176
36.28989871,0.2069432139,-0.8795467615,-0.01834580116
36.29989471,-0.02508443035,-0.9214248061,0.08035545796
36.30989171,-0.2516049147,-0.9027035832,0.2469478846
36.31988871,-0.442102313,-0.8149784207,0.4706302285
36.32988471,-0.5979571939,-0.7205251455,0.7386959791
36.33988171,-0.7075241804,-0.6626545191,1.016736269
36.34987871,-0.7635962367,-0.6357355714,1.276630878
36.35987471,-0.7500414848,-0.5967505574,1.48725009
36.36987171,-0.6557152271,-0.481610924,1.634639859
36.37986771,-0.497489959,-0.3181241751,1.715473413
36.38986471,-0.2944063544,-0.1446946114,1.758238196
36.39986171,-0.09249697626,-0.03693396226,1.790825367
36.40985771,0.07534768432,0.01135447249,1.818031073
36.41985471,0.2100136429,0.03868066147,1.834962487
36.42985171,0.331502229,0.08623912185,1.840497613
36.43984771,0.4648737311,0.165232569,1.832356453
36.44984471,0.6020646095,0.2732647657,1.813756108
36.45984071,0.7268360257,0.3921438456,1.788663745
36.46983771,0.8211116791,0.5249828696,1.759989977
36.47983471,0.8666964769,0.654199183,1.713192344
36.48983071,0.8585823774,0.7743405104,1.628311992
36.49982771,0.7901245356,0.8686769009,1.501934409
36.50982471,0.6764016747,0.9582619071,1.34428823
36.51982071,0.5349346399,1.033172846,1.171628356
36.52981771,0.3801405728,1.104674935,0.9932761788
36.53981371,0.2264319062,1.156514287,0.8075715899
36.54981071,0.1011051461,1.226467013,0.6401815414
36.55980771,0.02204989642,1.333018064,0.5057609677
36.56980371,-0.03905686736,1.440089941,0.3993335366
36.57980071,-0.1122381389,1.513875246,0.3390310705
36.58979771,-0.2253955901,1.545411348,0.3351966441
36.59979371,-0.3795513809,1.530035615,0.3940378726
36.60979071,-0.5425778031,1.467546344,0.5202189684
36.61978671,-0.6863008738,1.364388585,0.6768619418
36.62978371,-0.7908520699,1.22187674,0.8461769223
36.63978071,-0.8445009589,1.037094474,1.009754539
36.64977671,-0.8524643779,0.8135936856,1.15901351
36.65977371,-0.8163744807,0.5705394149,1.28259182
36.66977071,-0.7364569902,0.3021071553,1.37236166
36.67976671,-0.6148250699,0.02992892452,1.427264452
36.68976371,-0.4636470675,-0.2389262468,1.457454324
36.69975971,-0.2882463336,-0.4846843481,1.477699041
36.70975671,-0.09942394495,-0.6997072101,1.508929968
36.71975371,0.09029025584,-0.8704792857,1.542749882
36.72974971,0.2700254023,-0.9900538921,1.564029336
36.73974671,0.4071129262,-1.051406145,1.555410504
