Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
1.769025458,14.49533558,-6.367708683,-29.31314659,33.31550736
1.779021458,14.5247488,-5.843364239,-29.5282917,33.42204728
1.789018458,14.41111183,-5.030591011,-29.77100182,33.45593429
1.799014458,14.25766754,-4.12046814,-29.94018745,33.41667497
1.809010458,13.9816494,-3.142227173,-30.07932472,33.3185517
1.819007458,13.649786,-2.130976677,-30.297369,33.29847276
1.829003458,13.35617256,-1.212482452,-30.43861198,33.26208891
1.838999458,12.99110603,-0.2987413406,-30.56671715,33.21418793
1.848996458,12.61420631,0.6070098877,-30.66799736,33.16643972
1.858992458,12.39444733,1.567523003,-30.60998344,33.06131485
1.868988458,12.27329445,2.456905365,-30.39311028,32.86961048
1.878985458,12.2190218,3.325311661,-30.26325798,32.80589848
1.888981458,12.11764526,4.13942337,-30.23124504,32.83139244
1.898977458,11.98573399,4.946170807,-30.17187691,32.83998448
1.908974458,11.58722115,6.040740967,-30.13894463,32.84981322
1.918970458,11.09025669,7.159852982,-30.03149223,32.80469195
1.928966458,10.55268478,8.32585907,-29.78169441,32.67458351
1.938963458,9.983328819,9.568916321,-29.54749489,32.62338836
1.948959458,9.346515656,10.81811905,-29.25208473,32.55877018
1.958955458,8.847682953,11.97255135,-28.85478401,32.46878562
1.968952458,8.556084633,13.06334496,-28.4056263,32.41507629
1.978948458,8.48326683,13.88835335,-27.82820702,32.2375756
1.988944458,8.522153854,14.74636459,-27.27636147,32.15714959
1.998941458,8.619218826,15.53885078,-26.86247826,32.20775613
2.008937458,8.925474167,16.23670197,-26.42519569,32.2736045
2.018933458,9.197368622,16.93702698,-25.92051506,32.30058163
2.028930458,9.36858654,17.65822792,-25.3089962,32.25102658
2.038926458,9.522109985,18.37925911,-24.62962914,32.17275828
2.048922458,9.535338402,19.10214043,-23.84973717,32.00975492
2.058919458,9.458564758,19.89293289,-23.17764091,31.97493182
2.068915458,9.294937134,20.77786064,-22.63193321,32.09859421
2.078911458,9.053844452,21.70578957,-21.92904091,32.15581184
2.088908958,8.812263489,22.39981651,-21.04435158,31.97299643
2.098904958,8.473619461,23.06784248,-20.23293114,31.8323591
2.108900958,8.023277283,23.70005608,-19.4292202,31.67901883
2.118897958,7.576947689,24.38826942,-18.72560883,31.66774775
2.128893958,7.069964886,24.97445488,-18.06366158,31.62283462
2.138889958,7.069964886,24.97445488,-18.06366158,31.62283462
2.148886958,6.430905342,25.51741219,-17.38663292,31.54028967
